timestamp,equipment_id,equipment_name,unit,vibration_mms,bearing_temp_c,discharge_pressure_bar,flow_rate_m3h,status,last_serviced_date
2026-08-31 06:00:00,P-101A,Crude Booster Pump A,CDU-1,2.26,61.1,12.3,288.9,NORMAL,2026-05-15
2026-08-31 06:15:00,P-101B,Crude Booster Pump B,CDU-1,2.19,62.2,12.8,283.5,NORMAL,2026-05-15
2026-08-31 06:30:00,P-102A,Main Crude Charge Pump A,CDU-1,7.77,97.6,41.7,300.2,CRITICAL,2026-05-15
2026-08-31 06:45:00,P-102B,Main Crude Charge Pump B,CDU-1,2.21,63.5,44.6,301.8,NORMAL,2026-05-15
2026-08-31 07:00:00,P-201A,VGO Transfer Pump A,VDU,2.99,71.5,18.3,280.3,NORMAL,2026-05-15
2026-08-31 07:15:00,P-201B,VGO Transfer Pump B,VDU,2.92,70.2,18.0,286.2,NORMAL,2026-05-15
2026-08-31 07:30:00,K-101,Off-Gas Compressor,CDU-1,3.98,77.8,6.1,283.9,NORMAL,2026-05-15
2026-08-31 07:45:00,P-301A,FCC Feed Pump A,FCCU,3.04,68.5,35.3,309.2,NORMAL,2026-05-15
2026-08-31 08:00:00,P-101A,Crude Booster Pump A,CDU-1,2.21,63.4,12.4,302.1,NORMAL,2026-05-15
2026-08-31 08:15:00,P-101B,Crude Booster Pump B,CDU-1,2.23,62.0,12.8,303.1,NORMAL,2026-05-15
2026-08-31 08:30:00,P-102A,Main Crude Charge Pump A,CDU-1,7.88,97.6,41.7,291.6,CRITICAL,2026-05-15
2026-08-31 08:45:00,P-102B,Main Crude Charge Pump B,CDU-1,2.23,63.6,44.1,291.1,NORMAL,2026-05-15
2026-08-31 09:00:00,P-201A,VGO Transfer Pump A,VDU,3.15,70.9,17.9,288.4,NORMAL,2026-05-15
2026-08-31 09:15:00,P-201B,VGO Transfer Pump B,VDU,2.71,70.8,18.3,304.4,NORMAL,2026-05-15
2026-08-31 09:30:00,K-101,Off-Gas Compressor,CDU-1,3.67,78.8,6.2,295.2,NORMAL,2026-05-15
2026-08-31 09:45:00,P-301A,FCC Feed Pump A,FCCU,3.1,68.6,35.1,307.4,NORMAL,2026-05-15
2026-08-31 10:00:00,P-101A,Crude Booster Pump A,CDU-1,2.34,62.9,12.2,281.3,NORMAL,2026-05-15
2026-08-31 10:15:00,P-101B,Crude Booster Pump B,CDU-1,2.03,61.2,12.1,317.7,NORMAL,2026-05-15
2026-08-31 10:30:00,P-102A,Main Crude Charge Pump A,CDU-1,7.95,98.3,42.2,295.8,CRITICAL,2026-05-15
2026-08-31 10:45:00,P-102B,Main Crude Charge Pump B,CDU-1,2.57,64.1,44.3,289.9,NORMAL,2026-05-15
2026-08-31 11:00:00,P-201A,VGO Transfer Pump A,VDU,3.12,70.7,18.1,315.9,NORMAL,2026-05-15
2026-08-31 11:15:00,P-201B,VGO Transfer Pump B,VDU,2.76,69.0,18.7,300.4,NORMAL,2026-05-15
2026-08-31 11:30:00,K-101,Off-Gas Compressor,CDU-1,3.64,77.1,6.1,305.1,NORMAL,2026-05-15
2026-08-31 11:45:00,P-301A,FCC Feed Pump A,FCCU,3.02,68.1,34.6,295.3,NORMAL,2026-05-15
2026-08-31 12:00:00,P-101A,Crude Booster Pump A,CDU-1,2.4,62.3,13.0,314.4,NORMAL,2026-05-15
2026-08-31 12:15:00,P-101B,Crude Booster Pump B,CDU-1,1.9,62.3,12.6,301.5,NORMAL,2026-05-15
2026-08-31 12:30:00,P-102A,Main Crude Charge Pump A,CDU-1,7.71,99.1,41.6,297.4,CRITICAL,2026-05-15
2026-08-31 12:45:00,P-102B,Main Crude Charge Pump B,CDU-1,2.38,65.4,44.9,290.5,NORMAL,2026-05-15
2026-08-31 13:00:00,P-201A,VGO Transfer Pump A,VDU,3.1,70.4,18.4,314.8,NORMAL,2026-05-15
2026-08-31 13:15:00,P-201B,VGO Transfer Pump B,VDU,2.72,70.1,18.3,286.1,NORMAL,2026-05-15
2026-08-31 13:30:00,K-101,Off-Gas Compressor,CDU-1,3.91,78.3,6.8,301.2,NORMAL,2026-05-15
2026-08-31 13:45:00,P-301A,FCC Feed Pump A,FCCU,2.7,67.8,34.5,317.2,NORMAL,2026-05-15
2026-08-31 14:00:00,P-101A,Crude Booster Pump A,CDU-1,2.35,63.1,12.3,282.3,NORMAL,2026-05-15
2026-08-31 14:15:00,P-101B,Crude Booster Pump B,CDU-1,2.25,62.9,12.0,299.4,NORMAL,2026-05-15
2026-08-31 14:30:00,P-102A,Main Crude Charge Pump A,CDU-1,7.63,99.4,42.3,285.1,CRITICAL,2026-05-15
2026-08-31 14:45:00,P-102B,Main Crude Charge Pump B,CDU-1,2.39,64.4,44.3,314.9,NORMAL,2026-05-15
2026-08-31 15:00:00,P-201A,VGO Transfer Pump A,VDU,3.07,70.5,18.0,309.2,NORMAL,2026-05-15
2026-08-31 15:15:00,P-201B,VGO Transfer Pump B,VDU,2.68,69.3,18.7,306.0,NORMAL,2026-05-15
2026-08-31 15:30:00,K-101,Off-Gas Compressor,CDU-1,3.78,78.3,6.1,289.0,NORMAL,2026-05-15
2026-08-31 15:45:00,P-301A,FCC Feed Pump A,FCCU,2.84,68.5,34.7,288.8,NORMAL,2026-05-15
2026-08-31 16:00:00,P-101A,Crude Booster Pump A,CDU-1,2.03,62.6,12.2,316.2,NORMAL,2026-05-15
2026-08-31 16:15:00,P-101B,Crude Booster Pump B,CDU-1,2.24,60.7,12.1,306.8,NORMAL,2026-05-15
2026-08-31 16:30:00,P-102A,Main Crude Charge Pump A,CDU-1,7.69,97.8,42.4,302.8,CRITICAL,2026-05-15
2026-08-31 16:45:00,P-102B,Main Crude Charge Pump B,CDU-1,2.39,65.0,44.8,287.6,NORMAL,2026-05-15
2026-08-31 17:00:00,P-201A,VGO Transfer Pump A,VDU,2.94,71.1,17.9,298.7,NORMAL,2026-05-15
2026-08-31 17:15:00,P-201B,VGO Transfer Pump B,VDU,2.89,70.2,18.7,283.9,NORMAL,2026-05-15
2026-08-31 17:30:00,K-101,Off-Gas Compressor,CDU-1,3.76,77.8,6.9,289.9,NORMAL,2026-05-15
2026-08-31 17:45:00,P-301A,FCC Feed Pump A,FCCU,2.78,68.1,34.9,291.1,NORMAL,2026-05-15
2026-08-31 18:00:00,P-101A,Crude Booster Pump A,CDU-1,2.1,63.3,12.4,314.5,NORMAL,2026-05-15
2026-08-31 18:15:00,P-101B,Crude Booster Pump B,CDU-1,2.12,60.6,12.9,313.4,NORMAL,2026-05-15
2026-08-31 18:30:00,P-102A,Main Crude Charge Pump A,CDU-1,7.99,99.8,42.3,286.7,CRITICAL,2026-05-15
2026-08-31 18:45:00,P-102B,Main Crude Charge Pump B,CDU-1,2.39,63.5,44.4,282.3,NORMAL,2026-05-15
2026-08-31 19:00:00,P-201A,VGO Transfer Pump A,VDU,3.05,72.5,17.8,311.4,NORMAL,2026-05-15
2026-08-31 19:15:00,P-201B,VGO Transfer Pump B,VDU,2.78,69.6,18.7,319.8,NORMAL,2026-05-15
2026-08-31 19:30:00,K-101,Off-Gas Compressor,CDU-1,3.82,78.8,6.2,291.9,NORMAL,2026-05-15
